Key,Year,Source,Subtype ID
CCMB_1120,2016,Chicken,146
CCMB_1165,2016,Chicken,146
CCMB_1205,2016,Chicken,146
CCMB_1269,2016,Chicken,146
CCMB_1428,2016,Chicken,146
CCMB_1432,2016,Chicken,146
CCMB_1433,2016,Chicken,146
CCMB_1436,2016,Chicken,146
CCMB_1442,2016,Chicken,146
CCMB_1448,2016,Chicken,146
CCMB_1453,2016,Chicken,146
CCMB_1458,2016,Chicken,146
CCMB_243,2016,Chicken,146
CCMB_292,2016,Chicken,146
CCMB_312,2016,Chicken,146
CCMB_329,2016,Chicken,146
CCMB_636,2016,Chicken,146
CCMB_675,2016,Chicken,146
CCMB_813,2016,Chicken,146
CCMB_823,2016,Chicken,146
CCMB_892,2016,Chicken,146
CCMB_983,2016,Chicken,146
CCMB_1030,2016,Chicken,147
CCMB_1047,2016,Chicken,147
CCMB_645,2016,Chicken,148
CCMB_261,2016,Chicken,149
CCMB_262,2016,Chicken,149
CCMB_331,2016,Chicken,149
LH06_MS830,2006,Human,149
Wa08_4145,2008,Water,149
Wa08_4329,2009,Water,150
CCMC_1034,2016,Chicken,151
CCMC_1166,2016,Chicken,151
CCMC_623,2016,Chicken,151
CCMC_751,2016,Chicken,151
CCMC_778,2016,Chicken,151
CCMC_779,2016,Chicken,151
CCMC_784,2016,Chicken,151
CCMC_1203,2016,Chicken,152
CCMC_1220,2016,Chicken,152
CCMC_1221,2016,Chicken,152
CCMC_837,2016,Chicken,152
CCMC_842,2016,Chicken,152
CCMC_1227,2016,Chicken,152
CCMA_1442,2016,Chicken,153
CCMB_24,2016,Chicken,153
CCMB_22,2016,Chicken,153
CCMC_719,2016,Chicken,154
CCMC_869,2016,Chicken,154
CCMC_833,2016,Chicken,154
CCMB_51,2016,Chicken,155
CCMB_71,2016,Chicken,156
Wa10_916,2010,Water,156
CCMA_801,2016,Chicken,157
Wa08_4578,2009,Water,157
CCMA_2107,2017,Chicken,158
CCMA_803,2016,Chicken,158
Wa08_3490,2008,Water,159
Wa08_3491,2008,Water,159
Wa08_3440,2008,Water,160
CCMA_755,2016,Chicken,161
CCMB_1655,2017,Chicken,162
Wa08_4082,2008,Water,163
Wa08_4176,2008,Water,164
CCMB_1127,2016,Chicken,165
CCMB_12,2016,Chicken,165
CCMB_270,2016,Chicken,165
CCMB_271,2016,Chicken,165
CCMA_497,2016,Chicken,166
Wa11_1632,2011,Water,167
Wa11_1634,2011,Water,167
Wa11_1635,2011,Water,167
Wa11_1648,2011,Water,167
Wa11_1657,2011,Water,167
Wa11_1665,2011,Water,167
Wa08_4738,2009,Water,168
CCMB_880,2016,Chicken,169
CCMC_847,2016,Chicken,170
CCMC_1086,2016,Chicken,171
CCMC_1131,2016,Chicken,171
CCMC_703,2016,Chicken,171
CCMC_704,2016,Chicken,171
CCMC_840,2016,Chicken,171
CCMC_859,2016,Chicken,171
CCMC_956,2016,Chicken,172
CCMB_1,2016,Chicken,173
CCMB_856,2016,Chicken,173
CCMB_255,2016,Chicken,174
CCMA_1437,2016,Chicken,175
Wa08_4808,2009,Water,176
Wa10_1045,2010,Water,177
Wa10_1061,2010,Water,177
Wa10_1043,2010,Water,178
Wa08_4955,2009,Water,179
LH14_MS2578,2014,Human,180
Wa08_3678,2008,Water,180
Wa08_3679,2008,Water,180
Wa08_3724,2008,Water,180
Wa08_4246,2009,Water,180
Wa08_4080,2008,Water,181
CCMB_1545,2016,Chicken,182
CHRA_196,2007,Human,182
CHRA_206,2007,Human,182
CHRA_262,2007,Human,182
CHRA_263,2007,Human,182
LH08_MS3630,2008,Human,182
LH15_MS2381,2015,Human,182
Wa08_4204,2008,Water,182
Wa08_4229,2009,Water,182
Wa08_4387,2009,Water,182
Wa08_4473,2009,Water,182
Wa08_4988,2009,Water,182
Wa10_1041,2010,Water,182
Wa10_349,2010,Water,182
Wa11_1435,2011,Water,182
Wa11_1470,2011,Water,182
Wa11_1474,2011,Water,182
Wa11_1512,2011,Water,182
Wa11_1525,2011,Water,182
Wa11_1556,2011,Water,182
Wa11_1504,2011,Water,183
Wa08_4813,2009,Water,184
LH15_MS1654,2015,Human,185
LH18_MS1655,2018,Human,186
Wa10_1068,2010,Water,187
Wa10_1069,2010,Water,187
Wa10_1071,2010,Water,187
Wa08_4239,2009,Water,188
Wa08_4327,2009,Water,188
CCMA_1239,2016,Chicken,189
